
Orrin;Archery;0x279dd0
Dace;Minotaurs;0x27bb48
Ajit;Beholders;0x27bba4
Damacon;+350 Gold; 0x27bc00
Gunnar;Logistics;0x27bc5c
Synca;Manticores;0x27bcb8
Shakti;Troglodytes;0x27bd14
Alamar;Resurrection; 0x27bd70
Jaegar;Mysticism;0x27bdcc
Malekith;Sorcery;0x27be28
Jeddite;Resurrection;0x27be84
Geon;Eagle Eye;0x27bee0
Deemer;Meteor Shower; 0x27bf3c
Sephinroth;+1 Crystal;0x27bf98
Darkstorm;Stone Skin;0x27bff4
Yog;Cyclopes;0x27c050
Gurnisson;Ballista;0x27c0ac
Jabarkas;Orcs;0x27c108
Shiva;Rocs;0x27c164
Gretchin;Goblins;0x27c1c0
Krellion;Ogres;0x27c21c
Crag Hack;Offense;0x27c278
Tyraxor;Wolf Riders;0x27c2d4
Gird;Sorcery;0x27c330
Vey;Ogres;0x27c38c
Dessa;Logistics;0x27c3e8
Terek;Haste;0x27c444
Zubin;Precision;0x27c4a0
Gundula;Offense;0x27c4fc
Oris;Eagle Eye;0x27c558
Saurug;+1 Gems;0x27c5b4
Bron;Basilisks;0x27c610
Drakon;Gnolls;0x27c66c
Wystan;Lizardmen;0x27c6c8
Tazar;Armorer;0x27c724
Alkin;Gorgons;0x27c780
Korbac;Serpent Flies;0x27c7dc
Gerwulf;Ballista;0x27c838
Broghild;Wyverns;0x27c894
Mirlanda;Weakness;0x27c8f0
Rosie;Mysticism;0x27c94c
Voy;Navigation;0x27c9a8
Verdish;First Aid;0x27ca04
Merist;Stone Skin;0x27ca60
Styq;Sorcery;0x27cabc
Andra;Intelligence;0x27cb18
Tiva;Eagle Eye;0x27cb74
Pasis;Psychic Elementals; 0x27cbd0
Thunar;Earth Elementals; 0x27cc2c
Ignissa;Fire Elementals; 0x27cc88
Lacus;Water Elementals; 0x27cce4
Monere;Psychic Elementals;0x27cd40
Erdamon;Earth Elementals; 0x27cd9c
Fiur;Fire Elementals;0x27cdf8
Kalt;Water Elementals;0x27ce54
Luna;Fire Wall;0x27ceb0
Brissa;Haste;0x27cf0c
Ciele;Magic Arrow;0x27cf68
Labetha;Stone Skin;0x27cfc4
Inteus;Bloodlust;0x27d020
Aenain;Disrupting Ray; 0x27d07c
Gelare;+350 Gold;0x27d0d8
Grindan;+350 Gold;0x27d134
Sir Mullich;Speed;0x27d190
Adrienne;Fire Magic; 0x27d1ec
Catherine;Swordsmen; 0x27d248
Dracon;Enchanters;0x27d2a4
Gelu;Sharpshooters;0x27d300
Kilgor;Behemoths;0x27d35c
Haart Lich;Black Knights; 0x27d3b8
Mutare;Dragons;0x27d414
Roland;Swordsmen;0x27d470
Mutare Drake;Dragons;0x27d4cc
Boragus;Ogres;0x27d528
Xeron;Devils;0x27d584
